codigo,producto,familia,cantidad,coste,venta,margen_coste,margen_venta,beneficio,familia_legible
208962,ACTIVADOR ,A3 A6,1.0,3.85,7.69,0.650649350649351,0.394177812745869,3.84,otros
208960,ACTIVADOR ,A3 A6,1.0,3.89,6.69,0.42133676092545,0.296436968710436,2.8000000000000003,otros
010804,ACTIVIA 0% ,A0 LB,1.0,1.5875,2.79,0.59748031496063,0.374014195583596,1.2025,otros
049655,ACTIVIA C/FRESA ,A0 LB,12.0,22.5219,35.38,0.490269129500278,0.32898026255477497,12.858100000000004,otros
205406,ACTIVIA ,A0 LB,1.0,1.5483,2.69,0.579151327262158,0.366748466257669,1.1417,otros
049750,ACTIVIA ,A0 LB,19.0,38.3566,56.81,0.362738094617355,0.26618327912760703,18.4534,otros
002922,ACTIVIA ,A0 LB,8.0,16.797986,23.12,0.286633180539985,0.222777699872227,6.322013999999999,otros
049748,ACTIVIA ,A0 LB,5.0,10.0545,14.95,0.36724849569844303,0.268604059067433,4.895499999999998,otros
078599,ACTIVIA L.LIMON ,A0 LB,3.0,7.2909,8.67,0.143416925419146,0.125428373702421,1.3791000000000002,otros
049589,ACTIVIA NAT.120G ,A0 LB,7.0,10.886689,19.53,0.684626060320084,0.406396455834242,8.643311,otros
006822,ACTIVIA ,A0 LB,1.0,2.0875,2.79,0.214850299401198,0.176853312302839,0.7025000000000001,otros
003685,AFTER NIVEA ,A3 BK,1.0,4.95,6.99,0.16707070707070698,0.143153886100052,2.04,otros
037741,AFTER SHAVE ,A3 BK,4.0,5.84,10.2,0.443225687761803,0.307107676588802,4.359999999999999,otros
003683,AFTER SHAVE ,A3 BK,1.0,4.9,6.19,0.044081632653061094,0.0422204847537137,1.29,otros
046113,AGRIO GOURMET ,AQ JB,12.0,3.84,9.48,1.24393939393939,0.554355165428764,5.640000000000001,otros
601144,AGUA ALOEVERA  ,AB 3V,3.0,2.73,5.55,0.6801380437744071,0.404810810810811,2.82,bebidas sin alcohol
030012,AGUA AQUAREL ,AQ J1,206.0,90.51,127.9,0.284526069444864,0.221502759821627,37.39,bebidas sin alcohol
012186,AGUA AQUAREL ,AQ J1,45.0,10.8,27.0,1.27113636363636,0.559691784248974,16.2,bebidas sin alcohol
030011,AGUA AQUAREL ,AQ J1,22.0,6.82,13.2,0.758944281524927,0.43147715905301803,6.379999999999999,bebidas sin alcohol
030047,AGUA BEZOYA ,AQ J1,544.0,283.4,401.51,0.287980047475459,0.223590457041568,118.11,bebidas sin alcohol
030043,AGUA BEZOYA ,AQ J1,19.0,30.34,42.75,0.280760472223887,0.219213879810313,12.41,bebidas sin alcohol
010370,AGUA COCO ,AQ JU,124.0,106.92,198.4,0.533440310667128,0.34787158453859396,91.48,bebidas sin alcohol
030111,AGUA FONT ,AQ J1,616.0,207.090000000001,421.149999999999,0.848731996189619,0.459088714826661,214.059999999998,bebidas sin alcohol
022717,AGUA FONT ,AQ J1,42.0,63.84,96.18,0.369667065390748,0.269895564207997,32.34,bebidas sin alcohol
030110,AGUA FONT ,AQ J1,559.0,255.466000000001,419.5,0.492875052577711,0.330151576802543,164.033999999999,bebidas sin alcohol
009477,AGUA FONT ,AQ J1,60.0,19.08,33.0,0.572327044025157,0.364,13.920000000000002,bebidas sin alcohol
039776,AGUA FONTER ,AQ J1,24.0,17.04,27.6,0.47215642338881997,0.320724357743142,10.560000000000002,bebidas sin alcohol
601089,AGUA FUENTE ,AQ J1,13.0,2.86,6.4,1.03432930705658,0.5084375,3.5400000000000005,bebidas sin alcohol
601086,AGUA FUENTE ,AQ J1,17.0,4.93,7.65,0.41065830721003105,0.291111111111111,2.7200000000000006,bebidas sin alcohol
601072,AGUA FUENTE ,AQ J1,51.0,6.4,14.15,1.00916193181818,0.502280038177384,7.75,bebidas sin alcohol
030083,AGUA GOURMET ,AQ J1,78.0,28.08,39.0,0.263309375809375,0.20842826060772202,10.920000000000002,bebidas sin alcohol
031128,AGUA GOURMET ,AQ J1,63.0,13.86,22.05,0.44593335956972197,0.308405194899454,8.190000000000001,bebidas sin alcohol
212033,AGUA GOURMET ,AQ J1,34.0,6.46,11.9,0.674641148325358,0.40285714285714297,5.44,bebidas sin alcohol
024977,AGUA GOURMET ,AQ J1,570.0,153.9,256.13,0.512956465237164,0.339042449021661,102.23,bebidas sin alcohol
024976,AGUA GOURMET ,AQ J1,287.0,43.05,71.75,0.5145158906134499,0.33972300574875197,28.700000000000003,bebidas sin alcohol
024975,AGUA GOURMET ,AQ J1,414.0,83.9900000000002,145.45,0.573923302557659,0.364645025348453,61.4599999999998,bebidas sin alcohol
209079,AGUA GOURMET ,AQ J1,92.0,69.24,96.5999999999999,0.268468042644819,0.21164746262353598,27.3599999999999,bebidas sin alcohol
030000,AGUA GOURMET ,AQ J1,112.0,116.48,151.2,0.179982517482518,0.152529817023483,34.719999999999985,bebidas sin alcohol
098150,AGUA IDONIA ,AQ J1,208.0,75.0099999999999,114.4,0.38648180242634406,0.278750000000001,39.3900000000001,bebidas sin alcohol
030108,AGUA LANJARON ,AQ J1,294.0,137.61,219.83,0.452356131623627,0.311463642955069,82.22,bebidas alcohólicas
005921,AGUA MICAL ,A3 A6,1.0,0.59,0.85,0.190642947191483,0.160117647058823,0.26,bebidas sin alcohol
068891,AGUA MICELAR ,A3 BI,2.0,6.0,11.18,0.54,0.350649350649351,5.18,bebidas sin alcohol
601087,AGUA MINERAL ,AQ J1,42.0,5.46,12.6,1.0979020979021,0.523333333333334,7.14,bebidas sin alcohol
600607,AGUA MINERAL ,AQ J1,6.0,2.28,3.0,0.196172248803827,0.16399999999999898,0.7200000000000002,bebidas sin alcohol
